timestamp,ammonia,do,manganese,nitrate,ph,pond_id,temp,turbidity
1/2/2022 8:00,0,11.6,0.71,18.3,5.7,1,17.69,86.1
1/2/2022 8:20,0,10.5,0.62,3.6,5.1,1,19.42,71.8
1/2/2022 8:40,0,10.3,0.73,13.1,5.5,1,18.6,75.9
1/2/2022 9:00,0.1,9.4,0.64,18.1,5.2,1,19.1,70.3
1/2/2022 9:20,0.1,8.8,0.68,10.8,5.2,1,18.57,66.9
1/2/2022 9:40,0,7.3,0.67,1.8,5,1,16.48,13
1/2/2022 10:00,0,11.5,0.63,22,5.3,1,14.33,47.2
1/2/2022 10:20,0,9.6,0.7,17.7,5.9,1,15.89,18
1/2/2022 10:40,0.1,10.9,0.64,10.7,5.8,1,14.95,63.7
1/2/2022 11:00,0.1,6,0.68,1.4,5,1,18.17,41.2
1/2/2022 11:20,0,9.5,0.64,8.4,5.4,1,15.3,36
1/2/2022 11:40,0,7.6,0.61,11.4,5.4,1,19.93,12.6
1/2/2022 12:00,0,6.8,0.6,20.5,5,1,14.36,11.7
1/2/2022 12:20,0.1,6.1,0.72,12.5,5.8,1,14.74,82
1/2/2022 12:40,0,7.9,0.72,5,6,1,15.93,42.3
1/2/2022 13:00,0.1,6.8,0.66,25,5,1,18.94,51.9
1/2/2022 13:20,0.1,12,0.71,27.5,5.6,1,18.23,9.7
1/2/2022 13:40,0,10.3,0.68,0.9,5.5,1,19.15,66.8
1/2/2022 14:00,0.1,8.8,0.64,29.1,5.3,1,18.65,46.5
1/2/2022 14:20,0,6.7,0.72,3.9,5.4,1,17.66,35.8
1/2/2022 14:40,0,11.2,0.64,15.3,5,1,18.98,76.9
1/2/2022 15:00,0,11.2,0.71,17.9,5.4,1,19.46,85.5
1/2/2022 15:20,0,6.1,0.74,12.3,5.7,1,16.44,61.5
1/2/2022 15:40,0.1,9.3,0.71,29.7,5.8,1,14.14,84.3
1/2/2022 16:00,0,7.2,0.75,8.1,5.2,1,15.53,86.4
1/2/2022 16:20,0,11.5,0.69,3.9,5.3,1,15.87,9.3
1/2/2022 16:40,0.1,6.5,0.7,1,5.5,1,19.06,35.4
1/2/2022 17:00,0.1,7,0.66,23.6,5.1,1,15.03,82.6
1/2/2022 17:20,0.1,6.6,0.65,29.9,5.7,1,19.64,70.4
1/2/2022 17:40,0.1,8.8,0.75,6.5,5.7,1,18.27,45.2
1/2/2022 18:00,0.1,8.8,0.65,24.2,6,1,15.92,21.1
1/2/2022 18:20,0,7.4,0.65,2.6,6,1,17.78,49.7
1/2/2022 18:40,0.1,9.1,0.62,20.5,6,1,18.88,67.2
1/2/2022 19:00,0,7.7,0.66,27.6,5.3,1,16.77,78
1/2/2022 19:20,0.1,9.7,0.74,19.7,6,1,17.76,35.7
1/2/2022 19:40,0,6,0.62,21.5,5.9,1,19.82,69.7
1/2/2022 20:00,0.1,8.9,0.69,16.2,5.4,1,17.18,64.5
1/2/2022 20:20,0.1,9.3,0.74,19.1,5,1,14.49,10.4
1/2/2022 20:40,0,10.8,0.68,11.3,5.1,1,15.41,14.7
1/2/2022 21:00,0,8,0.62,0.3,5.4,1,14.27,13.3
1/2/2022 21:20,0,8.9,0.6,22.1,5.2,1,18.21,17.2
1/2/2022 21:40,0.1,9.6,0.65,1.7,5.2,1,16.8,9.4
1/2/2022 22:00,0,11.6,0.65,16.5,5.3,1,18.71,7.1
1/2/2022 22:20,0.1,8.9,0.74,21.2,5.3,1,18.86,33.8
1/2/2022 22:40,0,10,0.73,21.2,5.4,1,15.23,4.9
1/2/2022 23:00,0,9.9,0.74,22.6,5.6,1,19.03,29.5
1/2/2022 23:20,0.1,8.8,0.7,13.3,5.2,1,15.89,65.8
1/2/2022 23:40,0.1,12,0.62,29.6,5.7,1,17.03,20.2
2/2/2022 0:00,0,10.4,0.66,0.9,5.9,1,19.66,76.8
2/2/2022 0:20,0,8.3,0.65,28.6,5.6,1,16.17,5.2
2/2/2022 0:40,0.1,6.3,0.66,14,5.8,1,16.24,3.8
2/2/2022 1:00,0.1,6.4,0.66,5.6,5.4,1,14.33,17.1
